id,name,category,duration_min,ivf,isf,icf,4CF,hormones,description,protein_g,created_at,updated_at
11,"Soda (1 can, 355 mL)",drink,,"{""Na"":0.5,""H2O"":30}","{""Na"":1.5,""H2O"":80}","{""H2O"":245}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","A 355 mL soda (cola) provides fluids along with sugar and a small amount of caffeine. It contributes to hydration similarly to water:contentReference[oaicite:8]{index=8}, though the caffeine and high sugar content may lead to slightly increased urine output or gastrointestinal water needs.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
12,"Energy Drink (1 can, 250 mL)",drink,,"{""Na"":1.8,""H2O"":25}","{""Na"":3.2,""H2O"":60}","{""H2O"":165}","{""Urine"":300}","{""ADH"":-1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","An 8.4 oz energy drink contains ~80 mg caffeine (similar to a cup of coffee):contentReference[oaicite:9]{index=9}, plus ~27 g sugar and ~100 mg sodium. The caffeine may cause mild diuresis, but the added sodium and sugars promote fluid absorption, making its hydration effect comparable to a soft drink.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
13,"Banana (1 medium, ~120 g)",food,,"{""H2O"":5}","{""H2O"":13}","{""K"":10,""H2O"":70}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","One medium banana (~120 g) provides about 88 g of water and 422 mg of potassium:contentReference[oaicite:10]{index=10}. The potassium and glucose absorbed from the banana promote water uptake into cells, increasing intracellular hydration, while only minimally expanding blood volume.",1.31,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
14,"Watermelon (1 cup, 152 g)",food,,"{""H2O"":10}","{""H2O"":30}","{""K"":4,""H2O"":100}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Watermelon is about 92% water:contentReference[oaicite:11]{index=11}. One cup (~152 g) provides ~140 mL of water and small amounts of potassium (~170 mg). This high water content rapidly adds to body fluids, primarily boosting intracellular water.",0.93,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
15,"Cucumber (1 cup, 104 g)",food,,"{""H2O"":10}","{""H2O"":20}","{""K"":3,""H2O"":70}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Cucumber is one of the most hydrating foods at about 95% water:contentReference[oaicite:12]{index=12}. A one-cup serving (~104 g) delivers ~100 mL of water and modest potassium (~150 mg), helping increase both interstitial and intracellular fluids.",0.6,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
16,"Orange (1 medium, ~140 g)",food,,"{""H2O"":15}","{""H2O"":25}","{""K"":6,""H2O"":80}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Oranges are about 87–88% water:contentReference[oaicite:13]{index=13}. A medium orange (~140 g) provides ~120 mL of water and ~240 mg of potassium. The water and electrolytes from an orange enhance hydration, especially within cells, along with a natural sugar energy boost.",1.23,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
17,"Apple (1 medium, ~180 g)",food,,"{""H2O"":15}","{""H2O"":35}","{""K"":5,""H2O"":100}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Apples are ~85% water:contentReference[oaicite:14]{index=14} by weight. One medium apple (~180 g) contains roughly 150 mL of water and ~195 mg potassium. Its high water and moderate sugar content gradually augment body fluids, with fiber slowing absorption for sustained hydration.",0.36,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
18,"Celery (2 stalks, ~100 g)",food,,"{""Na"":0.5,""H2O"":15}","{""Na"":1.6,""H2O"":45}","{""K"":6,""H2O"":35}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Celery is about 95% water:contentReference[oaicite:15]{index=15}. Two stalks (~100 g) supply ~95 mL water and small amounts of sodium (~50 mg) and potassium (~260 mg). The salty, water-rich celery helps increase extracellular fluid while also delivering potassium for intracellular hydration.",0.7,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
19,"Baby Carrots (3 baby, ~30 g)",food,,"{""H2O"":3}","{""H2O"":7}","{""K"":1.8,""H2O"":17}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Carrots are about 88% water by weight. A small serving of 3 baby carrots (~30 g) provides ~27 mL of water and ~70 mg of potassium, contributing modestly to hydration with water and electrolytes.",0.2,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
20,"Date (1 medium, ~7 g)",food,,{},{},"{""K"":1.4}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Dried dates are only about 20% water, offering negligible direct fluid. One date (~7 g) contains minimal water (~1 mL) but is rich in sugar and potassium (~54 mg). Without additional water intake, its high osmolarity can draw fluid into the gut for digestion rather than hydrating the body.",0.2,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
21,"Pretzels (1 oz, ~28 g)",food,,"{""Na"":3.8,""H2O"":20}","{""Cl"":11.2,""Na"":11.2,""H2O"":60}","{""H2O"":-80}",{},"{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":-1,""Testosterone"":0}","One ounce of salted pretzels (~28 g) contains little water but about 350–390 mg of sodium:contentReference[oaicite:16]{index=16}. This salt load raises extracellular sodium, pulling water out of cells and triggering thirst and ADH release to conserve water. Without drinking, pretzels can cause a net fluid shift from intracellular to extracellular space, potentially dehydrating cells.",2.9,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
22,"Bread (1 slice, ~30 g)",food,,"{""Na"":1.8,""H2O"":5}","{""Cl"":5.6,""Na"":5.6,""H2O"":15}","{""H2O"":-20}",{},"{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","A 30 g slice of bread contains relatively little moisture (~12 mL) but moderate sodium (~170 mg). Its dry, salty nature can draw water from the body during digestion, mildly increasing plasma sodium and osmolality. This may prompt a small fluid shift from cells and stimulate thirst.",2.29,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
23,"Cheese (1 oz, ~28 g)",food,,"{""Na"":1.9,""H2O"":5}","{""Cl"":5.6,""Na"":5.6,""H2O"":10}","{""H2O"":-15}",{},"{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","One ounce (~28 g) of cheddar cheese contains only ~11 mL water but about 180 mg of sodium:contentReference[oaicite:17]{index=17}. The high salt and low water content can pull fluid from cells and slightly raise extracellular osmolarity. Without additional water, salty cheeses may induce thirst and a minor intracellular fluid loss.",7.06,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
24,"Tomato (1 medium, ~120 g)",food,,"{""H2O"":15}","{""H2O"":35}","{""K"":7.5,""H2O"":65}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Tomatoes are about 94% water, making them highly hydrating. One medium tomato (~120 g) provides roughly 113 mL of water and ~290 mg of potassium. This fluid-rich food primarily increases intracellular and interstitial fluids, with potassium enhancing cellular hydration.",1.16,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
25,"Lettuce (1 cup, ~50 g)",food,,"{""H2O"":5}","{""H2O"":10}","{""K"":2.5,""H2O"":33}",{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Lettuce (e.g., romaine) is about 95% water:contentReference[oaicite:18]{index=18}. One cup (~50 g) of lettuce provides ~47 mL of water and ~100 mg of potassium, which increases extracellular fluid minimally but contributes to intracellular hydration.",0.35,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
26,"Miso Broth (1 cup, 240 mL)",food,,"{""Na"":7,""H2O"":80}","{""Cl"":23,""Na"":23,""H2O"":180}","{""H2O"":-20}",{},"{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":-1,""Testosterone"":0}","Miso broth (240 mL) contains roughly 1,000 mg of sodium:contentReference[oaicite:19]{index=19}. The high salt load increases extracellular osmolarity and volume, drawing water into the bloodstream while risking slight intracellular dehydration.",2,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
27,Sleep (8 hours),state,480,"{""H2O"":-50}","{""H2O"":-150}","{""H2O"":-100}","{""Urine"":200}","{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","During 8 hours of sleep, the body loses about 0.5–1.0 liters of water through breathing and perspiration:contentReference[oaicite:23]{index=23}. No fluid intake occurs, so blood volume and interstitial fluid gradually decrease. ADH secretion increases overnight to concentrate urine (minimal output), resulting in mild dehydration by morning (notably reduced intracellular and extracellular fluid volumes).",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
28,Hot Weather (1 hour),state,60,"{""Na"":-4.4,""H2O"":-100}","{""Na"":-13,""H2O"":-300}","{""H2O"":-100}","{""Sweat"":500}","{""ADH"":2,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":1,""Testosterone"":0}","Exposure to high ambient temperature for 1 hour can provoke substantial sweating (~0.5 L), even without intense activity. This fluid loss reduces plasma and interstitial volumes and increases osmolarity. In response, thirst and ADH secretion are strongly stimulated to conserve water, and aldosterone may increase to retain sodium, mitigating the dehydration of both extracellular and intracellular compartments.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
29,Cold Exposure (30 min),state,30,"{""H2O"":-40}","{""H2O"":-80}",{},"{""Urine"":120}","{""ADH"":-2,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Cold exposure triggers peripheral vasoconstriction, raising central blood pressure and causing cold-induced diuresis:contentReference[oaicite:24]{index=24}:contentReference[oaicite:25]{index=25}. In 30 minutes of cold, suppressed ADH levels lead to increased urine output (approximately 0.1–0.2 L), reducing plasma volume. This water loss can concentrate extracellular fluid and mildly decrease total body water if fluids are not replaced.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
30,High Altitude (6 hours),state,360,"{""H2O"":-100}","{""H2O"":-200}","{""H2O"":-100}","{""Urine"":100}","{""ADH"":-1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":-1,""Testosterone"":0}","High altitude triggers a diuretic response over hours:contentReference[oaicite:26]{index=26}. During 6 hours at altitude, increased ventilation and suppressed ADH cause enhanced urine output and insensible water loss, reducing plasma and interstitial volumes. Total body water declines (e.g., ~0.5 L fluid deficit) unless fluid intake is increased.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
31,Fever (2 hours),state,120,"{""H2O"":-60}","{""H2O"":-180}","{""H2O"":-60}","{""Sweat"":300}","{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":0,""Testosterone"":0}","Fever elevates body temperature, increasing insensible water loss and often inducing sweating to cool down. In a 2-hour fever (~38–39°C), the body can lose a few hundred milliliters of water. This fluid deficit mainly comes from blood and interstitial fluid, raising ADH levels to conserve water. Adequate fluid intake is important to prevent dehydration during fever.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
32,Diarrhea (acute episode),state,,"{""Na"":-3,""H2O"":-75}","{""Na"":-9,""H2O"":-225}",{},"{""Stool"":300}","{""ADH"":2,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":2,""Testosterone"":0}","An acute diarrhea episode can rapidly expel fluid (~0.3 L) and electrolytes from the gut:contentReference[oaicite:27]{index=27}. This primarily reduces extracellular fluid (sodium-rich), leading to decreased blood volume and blood pressure. The body responds with a surge in ADH and aldosterone to conserve water and sodium. Without prompt fluid replacement (e.g., ORS), cellular dehydration and significant electrolyte imbalances can ensue.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
33,Vomiting (acute episode),state,,"{""H2O"":-50}","{""H2O"":-130}",{},"{""Vomiting"":180}","{""ADH"":2,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":2,""Testosterone"":0}","Severe vomiting causes a rapid loss of fluid and electrolytes:contentReference[oaicite:28]{index=28}. An acute episode can eject a few hundred milliliters of gastric fluid, primarily reducing blood volume and extracellular fluid. The resulting hypovolemia and electrolyte loss elicit a strong physiological response: ADH rises to conserve water and aldosterone increases to retain sodium (and help compensate for the loss of acidic gastric content).",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
34,Salt Intake (2 g NaCl),state,,"{""Na"":8.5,""H2O"":60}","{""Na"":25.5,""H2O"":190}","{""H2O"":-250}",{},"{""ADH"":2,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":-2,""Testosterone"":0}","Ingesting 2 g of salt (sodium chloride) without water significantly raises extracellular sodium concentration. Water shifts from cells to extracellular fluid (≈250 mL from ICF) to rebalance osmolarity, expanding blood volume transiently but dehydrating cells. Thirst and ADH secretion increase markedly to encourage water intake:contentReference[oaicite:29]{index=29}, while aldosterone is suppressed due to the sodium excess.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
35,Diuretic (Furosemide 40 mg),state,,"{""Na"":-18,""H2O"":-300}","{""Na"":-57,""H2O"":-900}","{""H2O"":-300}","{""Urine"":1500}","{""ADH"":2,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":2,""Testosterone"":0}","A 40 mg dose of furosemide (a loop diuretic) can induce profound diuresis:contentReference[oaicite:30]{index=30}. Over the next hours, it may cause ~1.5 L of urine output, stripping both water and electrolytes (notably sodium and potassium) from the extracellular fluid. Blood volume drops and plasma osmolarity rises, provoking strong aldosterone and ADH release in an attempt to retain fluid. Without fluid/electrolyte replacement, severe dehydration and electrolyte imbalances (e.g., hypokalemia) can occur.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
36,Sauna (15 min),state,15,"{""Na"":-4,""H2O"":-80}","{""Na"":-20,""H2O"":-400}","{""H2O"":-120}","{""Sweat"":600}","{""ADH"":2,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":1,""Testosterone"":0}","Short-term sauna use (15 minutes) induces intense sweating (often 0.5–1.0 L). This rapid fluid loss comes almost entirely from extracellular water, thickening the blood and reducing interstitial fluid. Blood osmolarity rises, stimulating a strong ADH response and some activation of aldosterone to conserve fluid, while water shifts out of cells to partly compensate the extracellular losses.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
37,"Blood Donation (1 unit, ~450 mL)",state,,"{""H2O"":-300}","{""H2O"":-150}",{},"{""Blood"":450}","{""ADH"":2,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":2,""Testosterone"":0}","Donating one unit of blood (~450 mL) acutely removes that volume from the intravascular compartment. This roughly 10% loss of blood volume is initially compensated by a shift of interstitial fluid into the vessels, but effective circulating volume still drops. The immediate physiological response is a sharp rise in ADH and activation of the RAAS (aldosterone, etc.) to retain water and restore blood pressure.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
38,"IV Saline (1 L, 0.9% NaCl)",state,,"{""Na"":38.5,""H2O"":250}","{""Cl"":115.5,""Na"":115.5,""H2O"":750}",{},{},"{""ADH"":-1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":-2,""Testosterone"":0}","An intravenous infusion of 1 liter of normal saline (0.9% NaCl) adds 1,000 mL of isotonic fluid directly to the extracellular space:contentReference[oaicite:31]{index=31}. It expands intravascular volume (~250 mL) and interstitial volume (~750 mL) without changing osmolarity, so little water enters cells. This volume expansion tends to suppress endogenous ADH and aldosterone levels transiently, as the body senses improved blood volume and sodium status.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
39,Menstrual/PMS (late luteal phase),state,,"{""H2O"":50}","{""H2O"":150}",{},{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":1,""Aldosterone"":1,""Testosterone"":0}","In the late luteal (premenstrual) phase, high estrogen levels can lead to sodium and fluid retention:contentReference[oaicite:32]{index=32}. Many women experience slight increases in extracellular fluid (bloating, breast swelling) due to estrogen-stimulated aldosterone activity and renal water retention. This hormonal water retention increases intravascular and interstitial volumes slightly, which is usually reversed after menstruation begins.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
40,Walk (30 min),exercise,30,"{""Na"":-0.8,""H2O"":-30}","{""Na"":-2.5,""H2O"":-120}",{},"{""Sweat"":150}","{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":1,""Testosterone"":0}","A 30-minute walk in mild conditions produces light sweating (~0.15 L):contentReference[oaicite:20]{index=20}. This causes a small loss of intravascular and interstitial fluid along with electrolytes (sodium, chloride), triggering mild increases in aldosterone and ADH to conserve body water.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
41,Run (20 min),exercise,20,"{""Na"":-3.5,""H2O"":-80}","{""Na"":-10.5,""H2O"":-240}","{""H2O"":-80}","{""Sweat"":400}","{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":1,""Testosterone"":0}","A 20-minute run can produce moderate sweating (~0.3–0.5 L). This removes water (≈0.4 L) and salt (hundreds of milligrams of sodium):contentReference[oaicite:21]{index=21} from the extracellular compartment, concentrating body fluids. Blood volume drops, stimulating aldosterone and ADH release to conserve water and shift fluid from cells to extracellular space.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
44,Humantra Electrolyte Sachet,drink,,"{""K+"":30,""H2O"":150,""Na+"":100}","{""H2O"":100,""Na+"":70}","{""K+"":25}",{},"{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":1,""Testosterone"":0}",Humantra sachets deliver balanced electrolytes for hydration support with moderate sodium and potassium.,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
45,Pocari Sweat (ion supply drink),drink,,"{""K+"":15,""H2O"":160,""Na+"":110}","{""H2O"":100,""Na+"":75}","{""K+"":10}",{},"{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":1,""Testosterone"":0}",Pocari Sweat replenishes electrolytes and water efficiently after exertion or in hot climates.,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
47,"Arabic Coffee (Gahwa, 60 mL)",drink,,"{""Na"":1,""H2O"":0.06}",{},{},{},"{""ADH"":-1,""Cortisol"":1}","Traditional cardamom coffee; small fluid volume, mild diuretic effect from caffeine",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
48,Karak Chai (200 mL),drink,,"{""K"":8,""Na"":15,""H2O"":0.18,""Glucose"":12}",{},{},{},{},"Sweet milk tea popular in the Gulf; provides water, sodium, potassium and carbohydrates",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
49,Laban / Ayran (250 mL),drink,,"{""K"":15,""Ca"":5,""Na"":40,""H2O"":0.25}",{},{},{},{},Salty yoghurt drink; good source of electrolytes and fluid,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
50,Pomegranate Juice (250 mL),drink,,"{""K"":20,""Na"":2,""H2O"":0.2,""Glucose"":30}",{},{},{},{},Fresh juice high in potassium and natural sugars,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
51,Mango Juice (250 mL),drink,,"{""K"":15,""Na"":2,""H2O"":0.2,""Glucose"":35}",{},{},{},{},Sweet mango juice; fluid plus carbohydrate boost,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
52,"Vimto (cordial, 250 mL)",drink,,"{""Na"":5,""H2O"":0.25,""Glucose"":50}",{},{},{},{},"Classic Ramadan beverage; high in sugar, modest sodium",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
53,Sparkling Water (330 mL),drink,,"{""H2O"":0.33}",{},{},{},{},Carbonated plain water; negligible electrolyte content,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
54,Electrolyte Tablet + Water (500 mL),drink,,"{""K"":5,""Mg"":2,""Na"":50,""H2O"":0.5}",{},{},{},{},"Dissolved effervescent electrolyte tablet; balanced sodium, potassium, magnesium",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
55,"Pure Water (bottle, 1 L)",drink,,"{""H2O"":1}",{},{},{},{},One-litre plain water bottle,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
56,"Energy Drink (sugar-free, 250 mL)",drink,,"{""Na"":5,""H2O"":0.24}",{},{},{},"{""ADH"":-1,""Cortisol"":1}","Caffeinated zero-sugar energy drink; slight diuretic, minimal calories",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
57,"Shawarma Wrap (chicken, 1 wrap)",food,,"{""Na"":120,""H2O"":0.1,""Glucose"":25}",{},{},{},{},Salty marinated chicken with flatbread; significant sodium and carbohydrate load,48,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
58,Hummus with Khubz (½ cup + 1 pita),food,,"{""Na"":80,""H2O"":0.1}",{},"{""K"":120,""Glucose"":10}",{},{},Chickpea dip and bread; good potassium with moderate sodium and fluid,11,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
59,Lentil Soup 250 mL,food,,"{""Na"":35,""H2O"":0.25}",{},"{""K"":20,""Glucose"":5}",{},{},"Warm, hydrating soup rich in potassium and modest salt",8,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
60,Machboos Rice & Chicken (350 g),food,,"{""Na"":90,""H2O"":-0.1,""Glucose"":60}",{},{},{},{},Hearty rice dish; high sodium and carbohydrate draws some water into gut lumen,32,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
61,Grilled Hamour Fish 150 g,food,,"{""Na"":70,""BUN"":3,""H2O"":0.02}",{},{},{},{},Lean local fish; adds protein (BUN) and sodium,13,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
62,Falafel (6 pcs),food,,"{""Na"":40,""H2O"":0.02}",{},"{""K"":100}",{},{},"Deep-fried chickpea balls; potassium rich, moderate sodium",15.5,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
